ttt,ID,habitat,habitat2,initial_size,Lf,tethered.density,overall.density,date.mortality.recorded,date.last.alive,start.date,time_alive,length.experiment,Mortality,mort2
HBLD3,58,HB,H,117,M,0,0.023214286,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
HBLD3,59,HB,H,117,E,0,0.023214286,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
HBLD3,60,HB,H,110,112,0,0.023214286,7/12/2004,7/1/2004,7/1/2004,11,45,1,0
UHD1,61,SG,U,107,122,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,62,SG,U,120,110,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,63,SG,U,102,129,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,64,SG,U,150,116,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,65,SG,U,113,116,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,66,SG,U,113,118,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,67,SG,U,124,145,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,68,SG,U,127,123,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,69,SG,U,112,112,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD1,70,SG,U,119,124,0.044047619,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD2,71,SG,U,109,106,0.008333333,0.127380952,NA,8/15/2004,7/1/2004,45,45,0,1
UHD2,72,SG,U,157,M,0.008333333,0.080952381,8/15/2004,8/7/2004,7/1/2004,45,45,1,0
UHD2,73,SG,U,110,110,0.008333333,0.080952381,7/31/2004,7/25/2004,7/1/2004,30,45,1,0
UHD2,74,SG,U,147,144,0.008333333,0.080952381,NA,8/15/2004,7/1/2004,45,45,0,1
UHD2,75,SG,U,106,108,0.008333333,0.080952381,NA,8/15/2004,7/1/2004,45,45,0,1
UHD2,76,SG,U,139,106,0.008333333,0.080952381,8/7/2004,7/31/2004,7/1/2004,37,45,1,0
